Region,LHIN,# Critical Care Beds,# Critical Care Patients,# Baseline Vented Beds,# Expanded Vented Beds,# Vented Patients,% Ventilator Capacity Remaining,# Suspected COVID-19,# Confirmed Positive COVID-19,# Confirmed Positive COVID-19 Patients with Invasive Ventilation,# Patients in Expanded ICU,# COVID Positive Patients in Expanded ICU
Central,L5: CW,87,46,73,63,22,83.80%,6,16,15,,
Central,L6: MH,187,114,98,207,32,89.50%,27,12,11,0,0
Central,L8: Central,98,49,58,77,23,83.00%,6,17,15,0,0
Central,L12: NSM,271,156,172,213,43,88.80%,20,14,7,0,0
East,L9: CE,68,53,26,79,31,70.50%,12,17,14,6,4
East,L10: SE,130,111,116,91,66,68.10%,20,26,17,2,1
East,L11: Champlain,153,128,130,117,82,66.80%,20,41,35,23,0
North,L13: NE,48,36,26,45,8,88.70%,8,2,1,0,0
North,L14: NW,373,250,266,208,122,74.30%,45,53,45,2,2
Toronto,L7: Toronto,163,112,109,77,67,64.00%,40,24,20,0,0
West,L1: ESC,103,64,57,37,32,66.00%,17,4,4,0,0
West,L2: SW,199,128,119,185,42,86.20%,37,19,14,2,1
West,L3: WW,102,60,53,69,17,86.10%,18,2,1,0,0
West,L4: HNHB,30,11,16,24,3,92.50%,3,1,1,0,0
